"","hh010","hh021","hh030","db100","hh081","hh091","hs100","hs160","hs170","hs180","hs190","hh040","family_size","hc190","hs050","hs060","hh050","h79_u","h80_u","hs040","hs070","hs080","hs090","hs110","hd080"
"hh010",0,0.426459697878064,0.494573316853359,0.220378341692432,0.749088118123953,0.996308561832566,0.951051624324228,0.458965162231903,0.427132662722908,0.649495442432961,0.82805265675583,0.316139446045305,0.787566636587479,0.642127048491727,0.923557436318596,0.332196126657848,0.74342405839132,0.744107888863839,0.779035953797061,0.476394362655382,0.948898280923389,0.978933880564552,0.440626584735745,0.380040729910456,0.789189175146511
"hh021",0.426459697878062,0,0.484093272294698,0.451929656296504,0.728417880042316,0.996547500479255,0.848088094962508,0.715746011926255,0.804739136678672,0.902222233604139,0.948357045414045,0.684358440760506,0.626295007361568,0.311296419563087,0.844037333539017,0.400742491098622,0.591057944787289,0.663616999935878,0.610370129431568,0.315618826539382,0.846692340227543,0.977213631977351,0.348311869140199,0.412755356214003,0.731549155099874
"hh030",0.494573316853361,0.484093272294693,0,0.660100510608602,0.622718937148382,0.991038206415353,0.974210442399035,0.611596855531254,0.612264907042545,0.913739844853019,0.97413814502191,0.634572649774326,0.905546668869357,0.685803946451113,0.977455425724979,0.573862452121077,0.892714101411233,0.903095954396308,0.919395705398179,0.665314882750788,0.97374652185522,0.99142947303373,0.669059680093426,0.582229473600052,0.943941472182691
"db100",0.220378341692434,0.451929656296504,0.660100510608601,0,0.950780114429882,0.996974531463672,0.855791101869658,0.455325339687091,0.394705249668589,0.601934824134426,0.785428752055478,0.280643315078039,0.708634773522933,0.537753104112255,0.849491535695411,0.256544176928645,0.605696335184936,0.670892258800423,0.627491150315641,0.363812325193031,0.854297460687521,0.978080063023983,0.371854670307422,0.335418840733988,0.735304998208847
"hh081",0.749088118123954,0.728417880042315,0.622718937148382,0.950780114429881,0,0.975974559590563,0.990363404044796,0.966480469657928,0.968172275772697,0.984613044702884,0.990931579467463,0.961423433656686,0.978740211388841,0.964389714366834,0.988916752609398,0.919378410855196,0.97762503106669,0.976535374138704,0.979857289643539,0.953203658345134,0.990763858176557,0.993959866422759,0.931703215440069,0.935519871348701,0.982288184691878
"hh091",0.996308561832566,0.996547500479255,0.991038206415353,0.996974531463673,0.975974559590563,0,0.997503145169803,0.997873325786157,0.997873174414576,0.998439320375142,0.998603170841502,0.997679965959768,0.9976851577684,0.997139411503229,0.998572162480651,0.996489952105223,0.99764668818299,0.997774550538514,0.997718943944945,0.997075260347753,0.998187316316205,0.997904918835268,0.996553537432257,0.996778869364958,0.99851975611353
"hs100",0.951051624324234,0.848088094962508,0.974210442399036,0.855791101869659,0.990363404044796,0.997503145169803,0,0.975150504407409,0.985268262917394,0.989550130851564,0.990234292908852,0.97559954781427,0.751169471088473,0.835258173377246,0.944297532521915,0.882746041671993,0.749066810951458,0.724129345135228,0.679506518669239,0.853603208318707,0.0800080143946583,0.975370359154183,0.875100104893707,0.880697274786961,0.96797384269761
"hs160",0.458965162231906,0.715746011926255,0.611596855531255,0.455325339687095,0.966480469657927,0.997873325786157,0.975150504407408,0,0.387213000200212,0.714331845985661,0.767454171183265,0.310280709859794,0.900597224150728,0.787804416294628,0.909735716117969,0.477480982331298,0.552575543054036,0.519707381105651,0.730922837101651,0.606029804327138,0.974427088954148,0.933752967234519,0.67198663293206,0.607438532096715,0.529052693229016
"hs170",0.427132662722906,0.804739136678673,0.612264907042542,0.394705249668584,0.968172275772697,0.997873174414576,0.985268262917393,0.38721300020021,0,0.34007088422123,0.613147654704291,0.145114767123604,0.911231648636859,0.833478875213272,0.971065407861775,0.5423330969667,0.882763879796376,0.867031377503502,0.916708803647905,0.677942903802933,0.984724775524791,0.990738719894691,0.675332813502435,0.594470952811184,0.89249048354931
"hs180",0.649495442432963,0.902222233604133,0.913739844853017,0.601934824134425,0.984613044702885,0.998439320375142,0.989550130851564,0.714331845985662,0.34007088422123,0,0.413797124499968,0.435836344175553,0.957104266726484,0.920153073720617,0.98056779963618,0.726177951176329,0.937801044308808,0.935654070247228,0.944789039584803,0.752094261734105,0.990104887922178,0.992915950082699,0.762021061725181,0.77278235355555,0.947746854765368
