"","c_0","c_1","c_2","c_3","c_4","c_5","c_6","c_7","c_8","c_9","c_10","c_11","c_12","c_13","c_14","c_15","c_16","c_17","c_18","c_19","c_20","c_21","c_22","c_23","c_24"
"c_0",0.0,0.06729925367529,0.1091636736917152,-0.1400827277636314,0.21000921926576976,0.42991455653466293,0.505369029092971,0.07794547688739417,0.03429005553807862,0.2895030466830687,0.4243373869036319,-0.050780941510251365,0.43741749516724615,0.33602981709051205,0.4643859166411777,0.06622626466831949,0.20124517229688677,0.09533123968095136,0.25161626404145987,0.1295003204025692,0.509763538870122,0.5035897382359158,0.15337165843877665,0.10058255869560417,0.32931186043186156
"c_1",0.06729925367529,0.0,0.06871039156517134,0.0794101682739401,0.3162801093389144,0.5496470439125472,0.549647149161544,0.2953402854137307,0.3687048892882311,0.6182830902130104,0.6486454295329067,0.2784262355327016,0.41466334254245507,0.11476414626335318,0.5239339115342836,0.10743641065190057,0.16805090099746167,0.13325217858158533,0.2210049279759605,0.07484512035356172,0.5543628269698545,0.6257737798034719,0.11474209811144054,0.09602741634859158,0.4041779461780023
"c_2",0.1091636736917152,0.06871039156517134,0.0,0.24881012395557822,-0.04059446123877941,0.2638105339251643,0.3882352857899364,0.05870620234710744,0.04255496664054992,0.3573997109144855,0.3993092522497117,0.12930496318631757,0.37686636610301727,0.20752523569132364,0.34855040536647053,0.220320590907072,0.13414480919091598,0.08592583535580522,0.13510223864833282,0.22103138315919035,0.3945081509674745,0.37720151784646105,0.2562270324511122,0.24239700885113358,0.2626482552305456
"c_3",-0.1400827277636314,0.0794101682739401,0.24881012395557822,0.0,0.3537535077264117,0.4128770306838221,0.41289259834224745,0.07541666081852894,0.0041583196600097905,0.23933066458238184,0.374165004802945,-0.0809126773883202,0.3437066674565731,0.18828854826428998,0.38833944316785307,-0.017905712254419726,0.05260514092565827,0.018071722184357486,0.10304821731671177,-0.002576866021263946,0.4173008363183155,0.48470163084303486,0.060589423590423186,0.02031566526716677,0.2745332877970187
"c_4",0.21000921926576976,0.3162801093389144,-0.04059446123877941,0.3537535077264117,0.0,0.10838844358001065,0.3041647744310132,0.19378940207542916,0.17329043555907442,0.24679622370539833,0.3096398101004585,0.24864634034640598,0.3743602308257705,0.48695624291163475,0.23690296727345406,0.37559398413652323,0.2695189985863291,0.211353544041877,0.19538598355647907,0.430680196834734,0.31316037794928375,0.2789735039653357,0.40392033443701714,0.44698045871907865,0.22547969483612262
"c_5",0.42991455653466293,0.5496470439125472,0.2638105339251643,0.4128770306838221,0.10838844358001065,0.0,-0.04715746452937175,0.27579305058722425,0.25176199108624175,0.3436297643350872,0.17396306452771204,0.32063358042611967,0.4848834550914797,0.5619770653165284,0.07432897403978667,0.4162064761655043,0.3454647408310939,0.28389531910060317,0.28718750681897287,0.4838413837063231,-0.030851055472883138,-0.09515341284938916,0.4426117010614592,0.5002485462245847,0.3320239813140198
"c_6",0.505369029092971,0.549647149161544,0.3882352857899364,0.41289259834224745,0.3041647744310132,-0.04715746452937175,0.0,0.3939512097360939,0.37812898741431933,0.5378857614005261,0.44475963926957995,0.42880649506955704,0.48498264416932957,0.561909911295748,0.3275260788936195,0.4161312994626699,0.3452185037397587,0.28370368916467015,0.28687272747738335,0.48376982806414115,-0.03101352551559744,0.2420331901324475,0.4399549175420434,0.5002036721549679,0.4854895586652913
"c_7",0.07794547688739417,0.2953402854137307,0.05870620234710744,0.07541666081852894,0.19378940207542916,0.27579305058722425,0.3939512097360939,0.0,-0.12372832699761505,0.2257199087690518,0.26785003641508043,-0.11081973951088209,0.38815762135732357,0.3367229488462955,0.3120985845661275,0.1398023528466512,-0.09867973924979401,-0.16019244620726036,0.011079162187314862,0.19008133980788744,0.40017060685092387,0.34443404308337555,0.2770445605737918,0.2938242562862664,-0.01635938883979149
"c_8",0.03429005553807862,0.3687048892882311,0.04255496664054992,0.0041583196600097905,0.17329043555907442,0.25176199108624175,0.37812898741431933,-0.12372832699761505,0.0,-0.03537267706728797,0.14924810614382278,-0.24941335447587432,0.37465821506181174,0.3554678064115221,0.33108159857106456,0.18528986312273732,0.12228012959058476,0.04929447039143653,0.1322885034196778,0.2338796165688385,0.38416075460203225,0.3595397998205746,0.2668432067194979,0.2569698520704402,0.22035235171010203
"c_9",0.2895030466830687,0.6182830902130104,0.3573997109144855,0.23933066458238184,0.24679622370539833,0.3436297643350872,0.5378857614005261,0.2257199087690518,-0.03537267706728797,0.0,0.186049828642598,0.0635769154155611,0.5979172234716721,0.6367595357998643,0.4663621879073474,0.355148185619635,0.4233345192300646,0.3568326146636951,0.38187285475410404,0.4450373384303733,0.5471575409163624,0.509630154219054,0.41550731734650204,0.4631349696799302,0.4391394295806935
"c_10",0.4243373869036319,0.6486454295329067,0.3993092522497117,0.374165004802945,0.3096398101004585,0.17396306452771204,0.44475963926957995,0.26785003641508043,0.14924810614382278,0.186049828642598,0.0,0.2289361957050673,0.6542336061307855,0.6746693508650201,0.34567862438793784,0.44488787615062975,0.4633186569770982,0.3923847931328449,0.4301624799724648,0.5662413493731144,0.45770568481017215,0.4053128032531208,0.5008641367767597,0.5814268436915812,0.49399550338491427
"c_11",-0.050780941510251365,0.2784262355327016,0.12930496318631757,-0.0809126773883202,0.24864634034640598,0.32063358042611967,0.42880649506955704,-0.11081973951088209,-0.24941335447587432,0.0635769154155611,0.2289361957050673,0.0,0.4224347951041426,0.31619509596148077,0.3632093424987207,0.1286704222904379,0.05595609964575243,-0.05321824436598299,0.11848683195672471,0.1574083998128626,0.4341806417284252,0.4106680597818,0.21298904967072219,0.18233598915076332,0.1973629710324496
"c_12",0.43741749516724615,0.41466334254245507,0.37686636610301727,0.3437066674565731,0.3743602308257705,0.4848834550914797,0.48498264416932957,0.38815762135732357,0.37465821506181174,0.5979172234716721,0.6542336061307855,0.4224347951041426,0.0,0.21844733664927674,0.5751499044281108,0.3684234446828344,0.33738399697344323,0.27707571457815794,0.27650405218098395,0.42746556254323675,0.49295509226525125,0.6244626148420078,0.2610552802152387,0.24863713025164158,0.47462619819911533
"c_13",0.33602981709051205,0.11476414626335318,0.20752523569132364,0.18828854826428998,0.48695624291163475,0.5619770653165284,0.561909911295748,0.3367229488462955,0.3554678064115221,0.6367595357998643,0.6746693508650201,0.31619509596148077,0.21844733664927674,0.0,0.5341723901686926,0.18033773346520665,0.19314895135331156,0.15388950755180986,0.252961780126157,0.17343367915133923,0.5671824735149795,0.6497247745565888,0.08215564288843413,0.04991994444760983,0.45968495547293453
"c_14",0.4643859166411777,0.5239339115342836,0.34855040536647053,0.38833944316785307,0.23690296727345406,0.07432897403978667,0.3275260788936195,0.3120985845661275,0.33108159857106456,0.4663621879073474,0.34567862438793784,0.3632093424987207,0.5751499044281108,0.5341723901686926,0.0,0.37292174899943753,0.24943284335228855,0.26664886754855466,0.17107612698955832,0.4165910173995865,0.34042191461334237,0.2849600505997335,0.40140050289478835,0.5282773143327402,0.23440306773740194
"c_15",0.06622626466831949,0.10743641065190057,0.220320590907072,-0.017905712254419726,0.37559398413652323,0.4162064761655043,0.4161312994626699,0.1398023528466512,0.18528986312273732,0.355148185619635,0.44488787615062975,0.1286704222904379,0.3684234446828344,0.18033773346520665,0.37292174899943753,0.0,0.0802034862728499,0.04354192580380123,0.16994317680384463,-0.10519561807270783,0.41903242982489763,0.44949907019498736,-0.24316027684889585,-0.02264083873038647,0.22005435223797343
"c_16",0.20124517229688677,0.16805090099746167,0.13414480919091598,0.05260514092565827,0.2695189985863291,0.3454647408310939,0.3452185037397587,-0.09867973924979401,0.12228012959058476,0.4233345192300646,0.4633186569770982,0.05595609964575243,0.33738399697344323,0.19314895135331156,0.24943284335228855,0.0802034862728499,0.0,-0.2633341794415527,-0.14151501065494565,0.03882586245784192,0.3508099388897957,0.4097305287079017,0.17667307993038628,0.23385558711113597,-0.004118507376184022
"c_17",0.09533123968095136,0.13325217858158533,0.08592583535580522,0.018071722184357486,0.211353544041877,0.28389531910060317,0.28370368916467015,-0.16019244620726036,0.04929447039143653,0.3568326146636951,0.3923847931328449,-0.05321824436598299,0.27707571457815794,0.15388950755180986,0.26664886754855466,0.04354192580380123,-0.2633341794415527,0.0,-0.10085537070391859,0.01811959061830659,0.2889157692625226,0.3387111391169815,0.1559197134608008,0.16019231503516307,-0.009781240247859646
