@relation olcm_8MVs_100000_withclass

@attribute c1 {0,1,2}
@attribute c2 {0,1}
@attribute mv1 {0,1}
@attribute mv2 {0,1}
@attribute mv3 {0,1}
@attribute mv4 {0,1}
@attribute mv5 {0,1}
@attribute mv6 {0,1}
@attribute mv7 {0,1}
@attribute mv8 {0,1}

@data
2,1,1,1,1,1,0,0,0,1
0,1,1,1,1,0,1,0,1,1
0,1,1,0,1,0,0,1,1,0
0,1,0,0,1,0,1,0,0,1
2,1,1,0,0,0,0,1,1,1
2,1,1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,1,0,0
2,1,0,0,0,1,0,1,0,1
2,0,0,1,1,0,1,1,0,1
1,1,1,1,1,1,0,1,0,1
2,1,1,1,0,1,1,1,1,1
1,1,1,1,0,1,0,0,1,1
1,1,0,0,1,1,0,1,1,1
1,1,0,1,1,1,1,0,1,0
0,1,1,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,0,1
2,1,1,1,1,1,1,0,0,1
1,1,1,0,1,1,1,1,1,0
1,1,0,1,1,1,1,1,0,1
2,1,0,1,0,0,1,1,0,1
1,1,0,0,1,1,1,1,0,0
0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,1,1,0
2,1,0,1,0,1,0,1,0,1
0,0,0,1,1,1,1,1,1,0
1,1,0,0,1,1,1,1,1,1
1,1,1,0,1,1,0,1,0,0
0,1,0,1,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,1
0,1,1,1,1,0,1,1,1,1
0,1,1,1,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,1
1,1,1,1,1,1,0,0,0,1
0,1,1,0,1,0,0,0,0,1
1,1,0,0,1,0,0,1,1,1
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,0,1,0,1
0,1,0,1,1,0,0,1,0,0
0,0,0,0,1,0,1,1,1,1
1,1,1,0,1,0,0,1,1,0
0,1,1,0,1,1,0,0,1,1
1,1,0,1,1,0,1,1,0,0
1,1,1,1,1,1,0,0,0,0
0,1,1,0,1,0,1,0,1,1
1,1,1,1,1,0,1,1,0,0
1,1,1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,0
2,0,1,1,0,0,0,1,0,1
1,1,1,1,0,1,0,1,1,1
