@relation egypt_12_v2

@attribute e1 {1,2,3}
@attribute mnal4c {1,2,3}
@attribute h1 {1,2}
@attribute h3 {1,2}
@attribute h4a {1,2}
@attribute h4b {1,2}
@attribute h7 {1,2}
@attribute h8 {1,2}
@attribute bank {1,2}
@attribute nonbank {1,2}
@attribute other {1,2}
@attribute mnaq53 {1,2}

@data
2,3,1,2,2,2,2,2,2,2,2,2
1,3,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,1,1,2,2,2,2,2,2,2,2,2
3,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
3,1,1,1,2,2,1,2,2,2,2,1
1,2,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,2,2,2,2,2
2,1,1,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,1,2,2,2,2,2,2,2,2,2
1,3,2,2,2,2,2,2,2,2,2,2
3,1,1,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,1,1,2,2,2,1,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,1,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,1,2
2,1,2,1,2,2,2,2,2,2,2,2
1,3,2,1,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,1
1,3,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
1,3,2,2,2,2,2,2,1,2,2,1
1,1,2,1,2,1,2,1,2,2,1,2
1,1,1,1,2,1,2,1,2,2,1,2
2,1,2,2,2,2,2,2,1,2,2,2
1,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,2,2,2,2
